1F600,😀 grinning face,1,1,-1,0,0,-1,-1,1,/
1F601,😁 beaming face with smiling eyes,1,1,-1,0,0,-1,-1,1,/
1F602,😂 face with tears of joy,1,1,-1,0,0,-1,-1,1,lol
1F923,🤣 rolling on the floor laughing,1,1,-1,0,0,-1,-1,1,/
1F603,😃 grinning face with big eyes,1,1,-1,0,0,-1,-1,1,/
1F604,😄 grinning face with smiling eyes,1,1,-1,0,0,-1,-1,1,/
1F605,😅 grinning face with sweat,0,0,0,0,1,0,-1,1,/
1F606,😆 grinning squinting face,0,0,0,0,1,0,-1,1,/
1F609,😉 winking face,1,0,-1,0,0,-1,-1,1,wink
1F60A,😊 smiling face with smiling eyes,1,1,-1,0,0,-1,-1,1,/
1F60B,😋 face savoring food,1,1,-1,0,0,-1,-1,1,/
1F60E,😎 smiling face with sunglasses,1,0,0,0,0,0,-1,1,/
1F60D,😍 smiling face with heart-eyes,1,1,-1,1,0,-1,-1,1,/
1F618,😘 face blowing a kiss,1,1,-1,1,0,-1,-1,1,kiss
1F617,😗 kissing face,1,1,-1,0,0,-1,-1,1,/
1F619,😙 kissing face with smiling eyes,1,1,-1,0,0,-1,-1,1,/
1F61A,😚 kissing face with closed eyes,1,1,-1,1,0,-1,-1,1,/
263A,☺ smiling face,1,1,-1,0,0,-1,-1,1,/
1F642,🙂 slightly smiling face,1,1,-1,0,0,-1,-1,1,/
1F917,🤗 hugging face,1,1,-1,0,0,-1,-1,1,hug
