1F942,🥂 clinking glasses,santé
1F6F0,🛰 satellite,satelilte
1F3B7,🎷 saxophone,saxophone
1F6F5,🛵 motor scooter,scooter
1F489,💉 syringe,seringues?
1F40D,🐍 snake,serpent
1F435,🐵 monkey face,singe
1F6A8,🚨 police car light,sirène
1F576,🕶 sunglasses,soleil
2600,☀ sun,soleil
1F42D,🐭 mouse face,souris
1F5B1,🖱 computer mouse,souris
1F3DF,🏟 stadium,stade
1F6D1,🛑 stop sign,stop
1F58A,🖊 pen,stylos?
1F36D,🍭 lollipop,sucette
1F363,🍣 sushi,sushi
1F941,🥁 drum,tambour
2615,☕ hot beverage,tasse
1F695,🚕 taxi,taxi
260E FE0F,☎️ telephone,téléphone
1F4F1,📱 mobile phone,téléphone;portable
1F52D,🔭 telescope,télescopes?
1F4FA,📺 television,télévision
1F3BE,🎾 tennis,tennis
1F42F,🐯 tiger face,tigre
1F6BD,🚽 toilet,toilette
1F345,🍅 tomato,tomate
26B0,⚰ coffin,tombes?;tombeaux?
1F422,🐢 turtle,tortue
1F69C,🚜 tractor,tracteur
1F686,🚆 train,train
1F3BA,🎺 trumpet,trompette
1F3C6,🏆 trophy,trophés?
1F3ED,🏭 factory,usine
1F42E,🐮 cow face,vache
1F30A,🌊 water wave,vague
1F6B2,🚲 bicycle,vélo
1F512,🔒 locked,vérouillée?s?
1F356,🍖 meat on bone,viande
1F377,🍷 wine glass,vin
1F3BB,🎻 violin,violon
1F697,🚗 automobile,voiture
1F30B,🌋 volcano,volcan
1F52E,🔮 crystal ball,voyance
1F609,😉 winking face,wink
